,Happiness Rank,Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
206,49,Uzbekistan,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.34326,0.28333,2016
207,50,Italy,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.16684000000000002,0.02556,2016
208,51,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2016
209,52,Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,2016
210,53,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,2016
211,54,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,2016
212,55,Moldova,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25202,0.19997,0.01903,2016
213,56,Russia,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.02736,0.03586,2016
214,57,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,2016
215,57,South Korea,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.18824,0.07716,2016
216,59,Bolivia,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.21698,0.07746,2016
217,60,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,2016
218,61,Belarus,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.13942000000000002,0.17457,2016
219,62,North Cyprus,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.26322,0.16577999999999998,2016
220,63,Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,2016
221,64,Peru,5.7429999999999986,0.99602,0.81255,0.6299399999999999,0.37502,0.14527,0.05292,2016
222,65,Turkmenistan,5.658,1.08017,1.03817,0.4400600000000001,0.37408,0.22567,0.28467,2016
223,66,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.052029999999999986,2016
224,67,Libya,5.615,1.0668799999999998,0.95076,0.52304,0.40672,0.17087,0.10339,2016
225,68,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,2016
226,69,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.052279999999999986,2016
227,70,Paraguay,5.5379999999999985,0.8937299999999999,1.11111,0.58295,0.46235,0.25296,0.07396,2016
228,71,Romania,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.12889,0.006790000000000001,2016
229,72,Estonia,5.517,1.27964,1.0516299999999998,0.68098,0.41511,0.08423,0.18519,2016
230,73,Jamaica,5.51,0.89333,0.96372,0.5946899999999999,0.43597,0.22245,0.04294,2016
231,74,Croatia,5.488,1.18649,0.6080899999999999,0.70524,0.23907,0.18434,0.04002,2016
232,75,Hong Kong,5.457999999999998,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,2016
233,76,Somalia,5.44,0.0,0.33613000000000004,0.11465999999999997,0.5677800000000001,0.27225,0.3118,2016
234,77,Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,2016
235,78,Turkey,5.3889999999999985,1.1649200000000002,0.8771700000000001,0.64718,0.23889,0.04707,0.12348,2016
236,79,Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,2016
237,80,Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,2016
238,81,Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914000000000002,2016
239,82,Philippines,5.279,0.81217,0.87877,0.4703600000000001,0.5485399999999999,0.21674,0.11757,2016
240,83,China,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,2016
